"Figure 1: Top emitting national communication sectors on a territorial basis: UK 1990 to 2024 (provisional)",""
"",""
"",""
"Notes",""
"Unit","Million tonnes of CO2e"
"",""
"Year","Electricity supply","Fuel supply","Domestic transport","Buildings and product uses","Industry","Agriculture","Waste","Land use, land use change and forestry"
"1990","204","77.2","129.3","109.8","155.2","54.4","70.3","10.6"
"1991","200.6","78.1","127.3","121.5","156.3","54.2","71.2","10.1"
"1992","188.5","79.2","128.6","118.1","149.1","53.9","71.3","9.3"
"1993","171","78.9","130","121.9","143","53","72","8.7"
"1994","166.7","71.4","131.3","117","144.9","53.7","72.5","8.3"
"1995","163.6","74.8","130.8","112.8","142","53.7","73.2","8.3"
"1996","163.2","74.6","135.1","126.2","143.7","55","73.8","7.3"
"1997","150.7","72.7","135.6","117.1","143.5","54.6","73.4","6.7"
"1998","155.6","71","134.6","118.8","139.1","54.3","73","6"
"1999","147.6","65.3","136.2","120.5","123.6","54.5","70.5","6.1"
"2000","159","63.3","134.2","120.6","121.1","52.6","67.7","5.8"
"2001","169.9","62.8","134.2","124.2","114.7","50.4","65.4","5.2"
"2002","165.5","63.3","137.2","116.7","103.6","50.1","64.9","4.3"
"2003","174.5","59.8","136.4","118.3","106.5","50.5","61.5","4.2"
"2004","174.1","58.2","137.6","121.1","105.1","51.3","56.8","3.3"
"2005","173.4","57.6","138.1","117.4","103.8","51.4","54.6","3"
"2006","182.3","52.7","138.2","113.1","101","50.4","52.6","2.5"
"2007","178","51.3","139.3","108.4","101.5","50","49","1.9"
"2008","172.9","49.7","134.2","113.3","92.8","49.7","44.1","1.2"
"2009","151.2","48.3","129.6","106.9","74.9","49.2","40.1","1.1"
"2010","157.4","48.8","128","117.9","78.2","49.6","34.8","1.1"
"2011","144.7","46.8","125.4","97.8","74.1","48.8","32.5","0.4"
"2012","158.7","43.1","124.7","107.6","72.3","49.3","30.8","0.5"
"2013","147.7","41","123","108.8","76.6","49.1","27.4","0.4"
"2014","124.5","39.3","124.8","93.4","74.3","49.4","24.9","0.1"
"2015","104.3","39.7","125.3","95.6","70.6","50.6","24.1","-0.1"
"2016","82.3","38.6","128.8","96.3","64.3","50","22.9","0.3"
"2017","72.2","38","129.5","93.8","64.5","49.9","23.3","0"
"2018","65.9","37.3","128.1","97.9","63.2","48.1","23.1","0.7"
"2019","57.9","37.3","124.7","94.1","61.7","48.6","22.6","0.6"
"2020","49.5","33.9","103.5","93.7","58.4","47.4","21.1","0.4"
"2021","54.8","31.2","111.9","98.2","57.9","48.1","20.1","0.2"
"2022","55","31.3","113.1","83.5","54.4","46.9","20","0.5"
"2023","43.9","30.1","111.8","78.5","53.1","46.6","19.9","1.1"
"2024","37.5","28.4","110.1","79.8","48.3","46.4","19.5","1.4"
