timestamp,time,wind,solar,hydro,nuclear,biomass,storage,gas,imports,coal,other
2026-08-04 12:00:00+00:00,12:00,22.6,25.4,0.3,11.0,7.4,0,13.3,18.4,0.0,1.6
2026-08-04 12:30:00+00:00,12:30,23.3,25.2,0.2,11.1,7.5,0,14.3,16.8,0.0,1.6
2026-08-04 13:00:00+00:00,13:00,25.2,24.2,0.2,11.0,7.7,0,13.8,16.6,0.0,1.3
2026-08-04 13:30:00+00:00,13:30,27.3,23.2,0.3,11.1,7.8,0,14.8,14.0,0.0,1.6
2026-08-04 14:00:00+00:00,14:00,28.4,22.4,0.4,11.2,7.8,0,14.5,13.9,0.0,1.3
2026-08-04 14:30:00+00:00,14:30,29.5,21.5,0.8,11.1,7.7,0,14.6,13.0,0.0,1.8
2026-08-04 15:00:00+00:00,15:00,30.6,19.4,0.3,10.9,7.4,0,17.2,12.7,0.0,1.4
2026-08-04 15:30:00+00:00,15:30,30.4,16.5,0.4,10.6,7.5,0,20.4,12.7,0.0,1.3
2026-08-04 16:00:00+00:00,16:00,30.8,14.3,0.4,10.6,7.6,0,21.7,12.8,0.0,1.7
2026-08-04 16:30:00+00:00,16:30,30.6,11.5,0.6,11.0,8.0,0,24.5,12.3,0.0,1.5
2026-08-04 17:00:00+00:00,17:00,30.7,9.3,0.9,11.1,8.2,0,25.9,12.2,0.0,1.7
2026-08-04 17:30:00+00:00,17:30,31.7,7.3,2.2,11.3,8.4,0,27.4,7.3,0.0,4.5
2026-08-04 18:00:00+00:00,18:00,30.8,5.2,3.1,11.5,8.5,0,28.4,7.2,0.0,5.2
2026-08-04 18:30:00+00:00,18:30,33.0,3.1,2.3,12.0,8.9,0,29.3,7.2,0.0,4.1
2026-08-04 19:00:00+00:00,19:00,35.6,1.3,2.2,12.2,9.0,0,28.5,7.3,0.0,4.0
2026-08-04 19:30:00+00:00,19:30,37.1,0.6,1.5,12.5,9.3,0,28.8,6.4,0.0,3.7
2026-08-04 20:00:00+00:00,20:00,40.1,0.0,1.2,12.6,9.3,0,28.8,6.3,0.0,1.6
2026-08-04 20:30:00+00:00,20:30,40.5,0.0,1.4,12.7,9.4,0,29.1,4.5,0.0,2.3
2026-08-04 21:00:00+00:00,21:00,40.8,0.0,1.8,12.9,9.4,0,29.0,4.7,0.0,1.4
2026-08-04 21:30:00+00:00,21:30,42.8,0.0,1.2,13.4,9.7,0,26.1,4.8,0.0,1.9
2026-08-04 22:00:00+00:00,22:00,43.2,0.0,1.5,13.9,9.3,0,23.9,4.9,0.0,3.5
2026-08-04 22:30:00+00:00,22:30,44.3,0.0,1.5,14.6,9.7,0,22.8,5.2,0.0,2.0
2026-08-04 23:00:00+00:00,23:00,44.1,0.0,1.9,14.7,9.9,0,22.1,5.2,0.0,2.1
2026-08-04 23:30:00+00:00,23:30,44.6,0.0,2.0,15.5,10.4,0,20.4,5.7,0.0,1.3
2026-08-05 00:00:00+00:00,00:00,44.7,0.0,2.0,15.8,10.5,0,19.1,5.8,0.0,2.0
2026-08-05 00:30:00+00:00,00:30,44.3,0.0,1.8,15.8,10.4,0,17.9,8.1,0.0,1.6
2026-08-05 01:00:00+00:00,01:00,45.4,0.0,1.8,15.8,10.3,0,16.8,8.0,0.0,1.9
2026-08-05 01:30:00+00:00,01:30,47.5,0.0,1.6,16.1,10.5,0,14.6,7.9,0.0,1.9
2026-08-05 02:00:00+00:00,02:00,51.0,0.0,1.5,16.1,10.4,0,12.7,7.7,0.0,0.6
2026-08-05 02:30:00+00:00,02:30,54.9,0.0,1.5,16.1,10.5,0,10.8,5.3,0.0,0.9
2026-08-05 03:00:00+00:00,03:00,56.3,0.0,1.5,16.0,10.4,0,10.1,5.0,0.0,0.7
2026-08-05 03:30:00+00:00,03:30,57.6,0.0,1.5,15.9,10.4,0,10.0,3.6,0.0,1.0
2026-08-05 04:00:00+00:00,04:00,57.5,0.1,0.6,16.0,10.8,0,10.2,3.6,0.0,1.2
2026-08-05 04:30:00+00:00,04:30,56.9,0.5,0.6,15.8,11.4,0,9.9,3.7,0.0,1.0
2026-08-05 05:00:00+00:00,05:00,56.1,1.1,0.5,15.4,11.2,0,9.6,3.6,0.0,2.5
2026-08-05 05:30:00+00:00,05:30,56.7,3.1,0.5,15.1,10.4,0,8.8,3.4,0.0,2.1
2026-08-05 06:00:00+00:00,06:00,55.9,5.8,0.5,14.5,9.4,0,7.5,3.1,0.0,3.4
2026-08-05 06:30:00+00:00,06:30,54.4,7.6,0.5,13.8,7.1,0,7.1,5.7,0.0,3.8
2026-08-05 07:00:00+00:00,07:00,53.1,9.9,0.5,13.5,5.3,0,6.6,6.0,0.0,5.2
2026-08-05 07:30:00+00:00,07:30,48.9,12.5,0.4,12.6,3.7,0,5.5,13.2,0.0,3.2
2026-08-05 08:00:00+00:00,08:00,46.7,15.6,0.3,12.4,3.8,0,4.8,13.4,0.0,3.0
