year,renewable_percentage,low_carbon_percentage,zero_carbon_percentage,fossil_percentage,interval_count
2009,3.3,24.0,24.4,73.8,17520
2010,2.9,20.8,21.2,76.8,17520
2011,5.7,26.6,27.0,70.5,17520
2012,6.7,27.9,28.6,67.0,17568
2013,9.0,30.3,31.2,62.7,17520
2014,11.5,31.6,32.5,58.1,17520
2015,15.0,37.4,37.4,50.8,17520
2016,15.3,38.3,37.2,49.9,17568
2017,20.5,44.0,43.1,44.7,17520
2018,22.8,49.6,49.8,42.4,17520
2019,26.0,50.8,51.7,40.1,17520
2020,31.3,55.8,57.0,35.1,17568
2021,27.5,50.1,51.5,38.7,17520
2022,32.9,53.9,52.8,39.7,17520
2023,35.2,54.5,61.3,32.2,17520
2024,36.0,57.1,68.5,25.5,17568
2025,37.4,56.7,66.8,26.0,17520
2026,41.8,60.0,69.2,24.9,5451
