timestamp,forecast,actual,index,chart_value
2026-03-23T00:00Z,177,166,moderate,166
2026-03-23T00:30Z,169,170,high,170
2026-03-23T01:00Z,175,169,moderate,169
2026-03-23T01:30Z,174,164,moderate,164
2026-03-23T02:00Z,176,166,moderate,166
2026-03-23T02:30Z,176,169,moderate,169
2026-03-23T03:00Z,179,173,high,173
2026-03-23T03:30Z,184,174,high,174
2026-03-23T04:00Z,178,179,high,179
2026-03-23T04:30Z,180,197,high,197
2026-03-23T05:00Z,194,204,high,204
2026-03-23T05:30Z,220,218,high,218
2026-03-23T06:00Z,202,224,high,224
2026-03-23T06:30Z,231,211,high,211
2026-03-23T07:00Z,240,210,high,210
2026-03-23T07:30Z,227,207,high,207
2026-03-23T08:00Z,216,198,high,198
2026-03-23T08:30Z,210,190,high,190
2026-03-23T09:00Z,197,179,high,179
2026-03-23T09:30Z,180,164,moderate,164
2026-03-23T10:00Z,156,147,moderate,147
2026-03-23T10:30Z,148,134,moderate,134
2026-03-23T11:00Z,143,121,moderate,121
2026-03-23T11:30Z,130,120,moderate,120
2026-03-23T12:00Z,117,118,moderate,118
2026-03-23T12:30Z,121,117,moderate,117
2026-03-23T13:00Z,120,118,moderate,118
2026-03-23T13:30Z,122,125,moderate,125
2026-03-23T14:00Z,113,127,moderate,127
2026-03-23T14:30Z,123,128,moderate,128
2026-03-23T15:00Z,128,,moderate,128
2026-03-23T15:30Z,137,,moderate,137
2026-03-23T16:00Z,145,,moderate,145
2026-03-23T16:30Z,150,,moderate,150
2026-03-23T17:00Z,153,,moderate,153
2026-03-23T17:30Z,153,,moderate,153
2026-03-23T18:00Z,152,,moderate,152
2026-03-23T18:30Z,150,,moderate,150
2026-03-23T19:00Z,132,,moderate,132
2026-03-23T19:30Z,126,,moderate,126
2026-03-23T20:00Z,106,,moderate,106
2026-03-23T20:30Z,93,,moderate,93
2026-03-23T21:00Z,87,,low,87
2026-03-23T21:30Z,82,,low,82
2026-03-23T22:00Z,74,,low,74
2026-03-23T22:30Z,69,,low,69
2026-03-23T23:00Z,71,,low,71
2026-03-23T23:30Z,68,,low,68
