timestamp,actual_price,forecast_price,provider,settlement_date,settlement_period,volume
2026-05-23T00:30:00Z,112.52,,APXMIDP,2026-05-23,4,1975.9
2026-05-23T01:00:00Z,112.54,,APXMIDP,2026-05-23,5,2101.6
2026-05-23T01:30:00Z,108.18,,APXMIDP,2026-05-23,6,2096.1
2026-05-23T02:00:00Z,105.99,,APXMIDP,2026-05-23,7,1804.1
2026-05-23T02:30:00Z,106.15,,APXMIDP,2026-05-23,8,1640.0
2026-05-23T03:00:00Z,100.45,,APXMIDP,2026-05-23,9,1809.0
2026-05-23T03:30:00Z,111.4,,APXMIDP,2026-05-23,10,1610.0
2026-05-23T04:00:00Z,101.13,,APXMIDP,2026-05-23,11,1673.9
2026-05-23T04:30:00Z,101.1,,APXMIDP,2026-05-23,12,1589.7
2026-05-23T05:00:00Z,97.72,,APXMIDP,2026-05-23,13,1474.55
2026-05-23T05:30:00Z,97.85,,APXMIDP,2026-05-23,14,1375.15
2026-05-23T06:00:00Z,96.5,,APXMIDP,2026-05-23,15,1548.0
2026-05-23T06:30:00Z,99.33,,APXMIDP,2026-05-23,16,1602.75
2026-05-23T07:00:00Z,95.2,,APXMIDP,2026-05-23,17,1649.5
2026-05-23T07:30:00Z,96.25,,APXMIDP,2026-05-23,18,1780.1
2026-05-23T08:00:00Z,108.49,,APXMIDP,2026-05-23,19,1805.5
2026-05-23T08:30:00Z,100.35,,APXMIDP,2026-05-23,20,2160.75
2026-05-23T09:00:00Z,114.19,,APXMIDP,2026-05-23,21,1797.95
2026-05-23T09:30:00Z,114.31,,APXMIDP,2026-05-23,22,1863.5
2026-05-23T10:00:00Z,99.73,,APXMIDP,2026-05-23,23,1999.05
2026-05-23T10:30:00Z,96.19,,APXMIDP,2026-05-23,24,1899.6
2026-05-23T11:00:00Z,97.28,,APXMIDP,2026-05-23,25,2009.15
2026-05-23T11:30:00Z,89.68,,APXMIDP,2026-05-23,26,2033.1
2026-05-23T12:00:00Z,86.53,,APXMIDP,2026-05-23,27,2435.35
2026-05-23T12:30:00Z,86.38,,APXMIDP,2026-05-23,28,2444.8
2026-05-23T13:00:00Z,87.65,,APXMIDP,2026-05-23,29,2772.25
2026-05-23T13:30:00Z,92.99,,APXMIDP,2026-05-23,30,2738.65
2026-05-23T14:00:00Z,102.09,,APXMIDP,2026-05-23,31,1848.15
2026-05-23T14:30:00Z,102.74,,APXMIDP,2026-05-23,32,2074.0
2026-05-23T15:00:00Z,111.32,,APXMIDP,2026-05-23,33,2093.75
2026-05-23T15:30:00Z,102.65,,APXMIDP,2026-05-23,34,2073.85
2026-05-23T16:00:00Z,104.8,,APXMIDP,2026-05-23,35,2424.9
2026-05-23T16:30:00Z,105.5,,APXMIDP,2026-05-23,36,2538.6
2026-05-23T17:00:00Z,119.54,,APXMIDP,2026-05-23,37,2367.75
2026-05-23T17:30:00Z,129.14,,APXMIDP,2026-05-23,38,2609.55
2026-05-23T18:00:00Z,137.85,,APXMIDP,2026-05-23,39,2864.95
2026-05-23T18:30:00Z,140.8,,APXMIDP,2026-05-23,40,2712.5
2026-05-23T19:00:00Z,144.17,,APXMIDP,2026-05-23,41,2692.05
2026-05-23T19:30:00Z,141.61,,APXMIDP,2026-05-23,42,2803.6
2026-05-23T20:00:00Z,140.47,,APXMIDP,2026-05-23,43,2330.5
2026-05-23T20:30:00Z,140.55,,APXMIDP,2026-05-23,44,2649.8
2026-05-23T21:00:00Z,130.32,,APXMIDP,2026-05-23,45,2849.25
2026-05-23T21:30:00Z,125.5,,APXMIDP,2026-05-23,46,2793.85
2026-05-23T22:00:00Z,115.84,,APXMIDP,2026-05-23,47,2335.8
2026-05-23T22:30:00Z,113.41,,APXMIDP,2026-05-23,48,2139.75
2026-05-23T23:00:00Z,111.81,,APXMIDP,2026-05-24,1,2039.05
2026-05-23T23:30:00Z,113.21,,APXMIDP,2026-05-24,2,1812.85
2026-05-24T00:00:00Z,112.61,,APXMIDP,2026-05-24,3,1168.05
