Year,territorial_emissions_mtco2e,Electricity supply,Fuel supply,Domestic transport,Buildings and product uses,Industry,Agriculture,Waste,"Land use, land use change and forestry",consumption_emissions_mtco2e,GHG from UK produced goods and services consumed by UK residents,GHG embedded in imported goods and services to UK,UK Households heating emissions arising from the use of fossil fuels,UK Transport emissions generated directly by UK households,population,consumption_per_person_tco2e,label
1996,778.8999999999999,163.2,74.6,135.1,126.2,143.7,55.0,73.8,7.3,826,407,259,96,64,58164400,14.201126462234631,1996
1997,754.3000000000001,150.7,72.7,135.6,117.1,143.5,54.6,73.4,6.7,834,375,305,90,64,58314200,14.301833858648493,1997
1998,752.4,155.6,71.0,134.6,118.8,139.1,54.3,73.0,6.0,880,385,339,92,64,58474900,15.049192046502004,1998
1999,724.3,147.6,65.3,136.2,120.5,123.6,54.5,70.5,6.1,869,369,343,92,65,58684400,14.808023938218675,1999
2000,724.3000000000001,159.0,63.3,134.2,120.6,121.1,52.6,67.7,5.8,866,366,342,93,65,58886100,14.706356848220548,2000
2001,726.8,169.9,62.8,134.2,124.2,114.7,50.4,65.4,5.2,859,371,327,95,66,59113000,14.531490535076887,2001
2002,705.5999999999999,165.5,63.3,137.2,116.7,103.6,50.1,64.9,4.3,903,363,380,91,69,59365700,15.21080354480786,2002
2003,711.7,174.5,59.8,136.4,118.3,106.5,50.5,61.5,4.2,913,367,386,92,68,59636700,15.309364870960332,2003
2004,707.4999999999999,174.1,58.2,137.6,121.1,105.1,51.3,56.8,3.3,964,366,435,94,69,59950400,16.07995943313139,2004
2005,699.3,173.4,57.6,138.1,117.4,103.8,51.4,54.6,3.0,954,365,429,90,70,60413300,15.791224779973946,2005
2006,692.8,182.3,52.7,138.2,113.1,101.0,50.4,52.6,2.5,956,360,438,88,70,60827000,15.716704752823581,2006
2007,679.4,178.0,51.3,139.3,108.4,101.5,50.0,49.0,1.9,978,358,466,84,70,61319100,15.949353464091939,2007
2008,657.9000000000001,172.9,49.7,134.2,113.3,92.8,49.7,44.1,1.2,908,340,415,84,69,61823800,14.686900514041518,2008
2009,601.3000000000001,151.2,48.3,129.6,106.9,74.9,49.2,40.1,1.1,813,310,354,81,68,62260500,13.058038403160912,2009
2010,615.8000000000001,157.4,48.8,128.0,117.9,78.2,49.6,34.8,1.1,819,310,351,91,67,62759500,13.049817159155188,2010
2011,570.4999999999999,144.7,46.8,125.4,97.8,74.1,48.8,32.5,0.4,793,292,362,73,66,63285100,12.530595669438778,2011
2012,587.0,158.7,43.1,124.7,107.6,72.3,49.3,30.8,0.5,823,305,372,80,66,63710500,12.917807896657537,2012
2013,574.0,147.7,41.0,123.0,108.8,76.6,49.1,27.4,0.4,814,295,370,82,67,64138200,12.691344627694573,2013
2014,530.7,124.5,39.3,124.8,93.4,74.3,49.4,24.9,0.1,798,283,379,69,67,64618700,12.349366359892725,2014
2015,510.1,104.3,39.7,125.3,95.6,70.6,50.6,24.1,-0.1,798,290,368,72,68,65087000,12.260512852028823,2015
2016,483.5,82.3,38.6,128.8,96.3,64.3,50.0,22.9,0.3,792,251,399,73,69,65605800,12.0721033811035,2016
2017,471.2,72.2,38.0,129.5,93.8,64.5,49.9,23.3,0.0,744,230,372,72,70,65964300,11.278828093377781,2017
2018,464.30000000000007,65.9,37.3,128.1,97.9,63.2,48.1,23.1,0.7,779,234,402,73,70,66286700,11.751980412360247,2018
2019,447.50000000000006,57.9,37.3,124.7,94.1,61.7,48.6,22.6,0.6,761,229,392,71,69,66627500,11.42171025477468,2019
2020,407.9,49.5,33.9,103.5,93.7,58.4,47.4,21.1,0.4,656,201,331,70,54,66739900,9.829202620920919,2020
2021,422.40000000000003,54.8,31.2,111.9,98.2,57.9,48.1,20.1,0.2,719,211,376,74,58,66978000,10.734868165666338,2021
2022,404.69999999999993,55.0,31.3,113.1,83.5,54.4,46.9,20.0,0.5,739,211,404,63,61,67636100,10.92611785717982,2022
